Index,Gender,Place,Location,Date,Type,Label,Descripcion,Descripcion2
Usuario1377,Female,Islas Marietas,Occidente,enero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1091,Male,Islas Marietas,Noreste,marzo de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario946,Female,Islas Marietas,Estados Unidos,abril de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario343,Male,Islas Marietas,Canada,junio de 2013,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario535,Male,Islas Marietas,Centro,junio de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario612,Female,Islas Marietas,Centro,julio de 2017,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1473,Female,Islas Marietas,Sureste,febrero de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario659,Female,Islas Marietas,Centro,enero de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario644,Female,Islas Marietas,Centro,marzo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario582,Male,Islas Marietas,Centro,mayo de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1234,Male,Islas Marietas,Occidente,septiembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1342,Female,Islas Marietas,Occidente,marzo de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1251,Male,Islas Marietas,Occidente,marzo de 2015,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1465,Male,Islas Marietas,Sureste,agosto de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1352,Female,Islas Marietas,Occidente,diciembre de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1283,Male,Islas Marietas,Occidente,enero de 2018,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1184,Male,Islas Marietas,Noroeste,abril de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario605,Female,Islas Marietas,Centro,marzo de 2013,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario541,Male,Islas Marietas,Centro,octubre de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario617,Female,Islas Marietas,Centro,agosto de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario499,Male,Islas Marietas,Centro,marzo de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario967,Female,Islas Marietas,Estados Unidos,junio de 2015,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario715,Female,Islas Marietas,Centro,mayo de 2013,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario516,Male,Islas Marietas,Centro,noviembre de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario609,Female,Islas Marietas,Centro,febrero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1484,Female,Islas Marietas,Sureste,abril de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario536,Male,Islas Marietas,Centro,junio de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1467,Male,Islas Marietas,Sureste,noviembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1480,Female,Islas Marietas,Sureste,septiembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario864,Male,Islas Marietas,Estados Unidos,febrero de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario854,Male,Islas Marietas,Estados Unidos,abril de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1209,Female,Islas Marietas,Noruega,septiembre de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1345,Female,Islas Marietas,Occidente,enero de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1138,Female,Islas Marietas,Noreste,diciembre de 2018,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario891,Female,Islas Marietas,Estados Unidos,junio de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario833,Male,Islas Marietas,Estados Unidos,marzo de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1216,Male,Islas Marietas,Occidente,julio de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario750,Female,Islas Marietas,Dinamarca,noviembre de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1485,Female,Islas Marietas,Sureste,septiembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1166,Male,Islas Marietas,Noroeste,abril de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario576,Male,Islas Marietas,Centro,abril de 2013,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1331,Female,Islas Marietas,Occidente,febrero de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario521,Male,Islas Marietas,Centro,agosto de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario502,Male,Islas Marietas,Centro,marzo de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario305,Female,Islas Marietas,Argentina,marzo de 2013,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario695,Female,Islas Marietas,Centro,diciembre de 2013,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario537,Male,Islas Marietas,Centro,agosto de 2013,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario867,Male,Islas Marietas,Estados Unidos,marzo de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario716,Female,Islas Marietas,Centro,diciembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1125,Female,Islas Marietas,Noreste,octubre de 2018,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario906,Female,Islas Marietas,Estados Unidos,marzo de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario304,Female,Islas Marietas,Argentina,abril de 2016,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1035,Female,Islas Marietas,Estados Unidos,julio de 2018,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1106,Male,Islas Marietas,Noreste,junio de 2018,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario385,Female,Islas Marietas,Canada,septiembre de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1365,Female,Islas Marietas,Occidente,mayo de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1207,Female,Islas Marietas,Noroeste,junio de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1167,Male,Islas Marietas,Noroeste,marzo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario673,Female,Islas Marietas,Centro,mayo de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario637,Female,Islas Marietas,Centro,diciembre de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1374,Female,Islas Marietas,Occidente,enero de 2013,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario546,Male,Islas Marietas,Centro,diciembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1490,Female,Islas Marietas,Uruguay,noviembre de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1232,Male,Islas Marietas,Occidente,mayo de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1088,Male,Islas Marietas,Noreste,abril de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario847,Male,Islas Marietas,Estados Unidos,mayo de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1095,Male,Islas Marietas,Noreste,julio de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario507,Male,Islas Marietas,Centro,mayo de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario488,Male,Islas Marietas,Centro,septiembre de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario310,Female,Islas Marietas,Argentina,enero de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1220,Male,Islas Marietas,Occidente,diciembre de 2013,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario288,Male,Islas Marietas,Argentina,diciembre de 2014,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario757,Female,Islas Marietas,Espania,mayo de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1052,Female,Islas Marietas,Estados Unidos,mayo de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1048,Female,Islas Marietas,Estados Unidos,septiembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1334,Female,Islas Marietas,Occidente,febrero de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario660,Female,Islas Marietas,Centro,abril de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario711,Female,Islas Marietas,Centro,febrero de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario679,Female,Islas Marietas,Centro,febrero de 2013,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario955,Female,Islas Marietas,Estados Unidos,enero de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1492,Female,Islas Marietas,Uruguay,julio de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario367,Male,Islas Marietas,Canada,febrero de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario868,Male,Islas Marietas,Estados Unidos,agosto de 2013,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1287,Male,Islas Marietas,Occidente,marzo de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1094,Male,Islas Marietas,Noreste,julio de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario403,Female,Islas Marietas,Canada,agosto de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario771,Male,Islas Marietas,Estados Unidos,abril de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario538,Male,Islas Marietas,Centro,mayo de 2014,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario285,Male,Islas Marietas,Argentina,julio de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario603,Female,Islas Marietas,Centro,mayo de 2019,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1327,Female,Islas Marietas,Occidente,marzo de 2013,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario633,Female,Islas Marietas,Centro,noviembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1031,Female,Islas Marietas,Estados Unidos,marzo de 2017,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1025,Female,Islas Marietas,Estados Unidos,enero de 2016,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario649,Female,Islas Marietas,Centro,mayo de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario342,Male,Islas Marietas,Canada,noviembre de 2016,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1075,Male,Islas Marietas,italia,diciembre de 2012,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario465,Male,Islas Marietas,Centro,mayo de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1280,Male,Islas Marietas,Occidente,abril de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1495,Female,Islas Marietas,Venezuela,diciembre de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario350,Male,Islas Marietas,Canada,enero de 2015,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario368,Male,Islas Marietas,Canada,abril de 2015,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1078,Male,Islas Marietas,Nicaragua,marzo de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1370,Female,Islas Marietas,Occidente,octubre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1014,Female,Islas Marietas,Estados Unidos,julio de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1169,Male,Islas Marietas,Noroeste,agosto de 2017,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1269,Male,Islas Marietas,Occidente,febrero de 2016,Business,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario515,Male,Islas Marietas,Centro,marzo de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario491,Male,Islas Marietas,Centro,noviembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario287,Male,Islas Marietas,Argentina,abril de 2019,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario434,Female,Islas Marietas,Canada,noviembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1140,Female,Islas Marietas,Noreste,agosto de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1301,Male,Islas Marietas,Occidente,enero de 2016,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario978,Female,Islas Marietas,Estados Unidos,mayo de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario936,Female,Islas Marietas,Estados Unidos,marzo de 2017,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1313,Male,Islas Marietas,Occidente,septiembre de 2015,Friends,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1340,Female,Islas Marietas,Occidente,julio de 2015,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario686,Female,Islas Marietas,Centro,mayo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario707,Female,Islas Marietas,Centro,octubre de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario880,Male,Islas Marietas,Estados Unidos,abril de 2017,Alone,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario554,Male,Islas Marietas,Centro,marzo de 2016,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario512,Male,Islas Marietas,Centro,enero de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario853,Male,Islas Marietas,Estados Unidos,abril de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario727,Male,Islas Marietas,Chile,marzo de 2019,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1427,Male,Islas Marietas,Reino Unido,febrero de 2017,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario383,Female,Islas Marietas,Canada,agosto de 2014,Family,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario1181,Male,Islas Marietas,Noroeste,febrero de 2014,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
Usuario567,Male,Islas Marietas,Centro,marzo de 2016,Couple,5,Turismo de sol y playa|Aventura|ecoturismo,El Parque Nacional Islas Marietas
